"Name","Creator","Sold mixed with","Sold mixed with","Sold mixed with","Sold mixed with","Sold mixed with","Sold mixed with","Sold in","Sold in","Sold in","D/C*"
"Name","Creator","Cola","Ginger Ale","Lemonade","Citrus","Milk","Stimulant","US","Australia","UK","D/C*"
"Hooper's Hooch","Bass Brewery","No","No","Yes","Yes","No","No","Yes","No","Yes","No"
"Kiss Mix","Kiss Mix Drinks Company","No","No","Yes","Yes","No","Yes","Yes","No","Yes","No"
"Lemon Ruski","Stolichnaya","No","No","No","Yes","No","No","No","Yes","?","No"
"Mike's Hard Lemonade","Mike's Hard Lemonade Co","No","No","Yes","Yes","No","No","Yes","Yes","No","No"
"Pulse","Independent Distillers","No","No","Yes","No","No","Yes","No","Yes","?","No"
"Red Square","Halewood International","No","No","Yes","Yes","No","Yes","Yes","No","Yes","No"
"Rev","Bacardi Canada Ltd.","Yes","No","No","No","No","Yes","No","No","No","No"
"Smirnoff Ice","Smirnoff","Yes","No","Yes","Yes","No","Yes","Yes","Yes","Yes","No"
"UDL","UDL","No","No","No","Yes","No","No","No","Yes","No","No"
"Vodka Cruiser","Independent Distillers","No","No","No","Yes","No","No","No","Yes","?","No"
"Vodka Kick","Global Brands","No","No","No","Yes","No","Yes","No","No","Yes","No"
"Vodka Mudshake","Independent Distillers","No","No","No","No","Yes","No","No","Yes","Yes","No"
"TVX","ICB Brands","No","No","No","Yes","No","No","No","No","Yes","No"
"Woody's","Beverage Brands","No","No","No","Yes","No","No","Yes","No","Yes","No"
